Serial,ClientName,DBA,Active_on_OEMAcc
4385,QUIRK NISSAN INC. DBA QUIRK NISSAN,QUIRK NISSAN,0
4386,QUIRK NISSAN INC. DBA QUIRK CHRYSLER JEEP OF DORCHESTER,QUIRK CHRYSLER JEEP,0
4387,QUIRK CARS INC. DBA QUIRK WORKS SUBARU,QUIRK WORKS SUBARU,0
4388,QUIRK CARS INC. DBA QUIRK CHRYSLER DODGE JEEP RAM,QUIRK CHRYSLER DODGE JEEP RAM,0
4389,D.J.Q ENTERPRISES INC. DBA QUIRK CHEVROLET,QUIRK CHEVROLET,0
4390,D.J.Q ENTERPRISES INC. DBA QUIRK CHEVROLET - WHOLESALE,QUIRK CHEVROLET - WHOLESALE,0
4391,D.J.Q ENTERPRISES INC. DBA QUIRK BUICK,QUIRK BUICK,0
4392,D.J.Q ENTERPRISES INC. DBA QUIRK VW,QUIRK VOLKSWAGEN,0
4393,D.J.Q ENTERPRISES INC DBA QUIRK KIA,QUIRK KIA OF MANCHESTER,0
4394,QUINCY AUTO AUCTION INC. DBA QUINCY AUTO AUCTION,QUINCY AUTO AUCTION,0
4395,MARCH FOURTH LLC DBA MARCH FOURTH LLC,MARCH FOURTH LLC,0
4396,DANIEL J. QUIRK INC. DBA DANIEL J QUIRK,DANIEL J QUIRK,0
4397,SNAP DRAGON RENTALS,,0
4398,HEMEL'S CHEVROLET INC.,,0
4399,D.J. QUIRK FORD INC. DBA QUIRK AUTO BODY,QUIRK AUTO BODY,0
4404,TURPIN CHEVROLET INC.,,0
4405,TURPIN MOTORS,,0
4406,CLASSIC CHRYSLER DODGE JEEP RAM OF ARLINGTON,CLASSIC CHRYSLER DODGE JEEP RAM,0
4407,WINN/PATEL NEWARK - K LP DBA WINN KIA FREMONT,WINN KIA FREMONT,0
4408,ATWATER FORD INC.,,0
4409,WILSON FORD LINCOLN LLC,,0
4410,SIOUX CITY FORD LINCOLN,SIOUX CITY FORD LINCOLN,0
4411,CLASSIC CHEVROLET SUGARLAND LLC,,0
4413,SMITH MOTOR CO.,,0
4418,BRASS HIGHWAY 57 FORD,,0
4419,RICHMOND FORD WEST,,0
4420,RICHMOND FORD LLC,RICHMOND FORD LINCOLN,0
4421,QUALITY AUTO SALES,,0
4422,EXECUTIVE MOTORS LTD.,,0
4423,OMEGA MOTORS LTD.,,0
4424,QUALITY AUTO SALES (FREEPORT) LTD.,,0
4428,QUIRK COMMERCIAL TRUCK,,0
4429,COUNTRY CHEVROLET INC.,,0
4430,BEST CHEVROLET INC.,,0
4431,BEST CHRYSLER DODGE JEEP RAM,,0
4435,LYNCH MOTOR VEHICLE GROUP INC,LYNCH BUICK GMC OF WEST BEND,0
4436,REX CHEVROLET GMC-TRUCK LTD.,MARK HANSEN'S REX CHEVROLET GMC,0
4438,VARNEY INC.,VARNEY BUICK GMC,0
4439,VARNEY CHEVROLET INC.,,0
4440,VARNEY FORD INC.,,0
4441,RON ALPEN FORD INC.,,0
4442,ERVIN MOTOR CO.,,0
4444,JOHNSON SALES INC.,,0
4445,WEST POINT FORD LLC,,0
4447,PEARMAN MOTOR COMPANY LTD,,0
4448,CARR AUTO GROUP,CARR NISSAN,0
4449,CARR AUTO GROUP INC,CARR CHEVROLET,0
4450,CARR AUTO GROUP INC,CARR VANCOUVER,0
4451,CARR AUTO GROUP INC.,CARR SUBARU,0
4457,495 COLLISION,,0
4458,WESLACO COLLISION,,0
4459,HARLINGEN COLLISION,,0
