fldId,fldSerialNumber,fldDate,fldUserRef,fldKey,fldCount,Year,Month,Day,Day_of_week
178950806,5235,2025-01-25,512,Deal.Accessories.OEM,1,2025,1,25,Saturday
178950860,5235,2025-01-25,524,Deal.Accessories.OEM,1,2025,1,25,Saturday
178981377,7415,2025-01-25,1030,Deal.Accessories.OEM,1,2025,1,25,Saturday
178981396,7415,2025-01-25,1031,Deal.Accessories.OEM,2,2025,1,25,Saturday
178950512,5234,2025-01-25,1110,Deal.Accessories.OEM,16,2025,1,25,Saturday
179029251,7415,2025-01-26,1030,Deal.Accessories.OEM,4,2025,1,26,Sunday
179029277,7415,2025-01-26,1031,Deal.Accessories.OEM,4,2025,1,26,Sunday
179341990,3027,2025-01-27,-1,Deal.Accessories.OEM,3,2025,1,27,Monday
179055874,3179,2025-01-27,6,Deal.Accessories.OEM,2,2025,1,27,Monday
179091663,5644,2025-01-27,163,Deal.Accessories.OEM,1,2025,1,27,Monday
179139653,5560,2025-01-27,175,Deal.Accessories.OEM,1,2025,1,27,Monday
179295718,7717,2025-01-27,262,Deal.Accessories.OEM,5,2025,1,27,Monday
179430083,5234,2025-01-27,430,Deal.Accessories.OEM,1,2025,1,27,Monday
179430274,5234,2025-01-27,496,Deal.Accessories.OEM,1,2025,1,27,Monday
179430715,5235,2025-01-27,511,Deal.Accessories.OEM,3,2025,1,27,Monday
179430742,5235,2025-01-27,512,Deal.Accessories.OEM,3,2025,1,27,Monday
179342071,3027,2025-01-27,1022,Deal.Accessories.OEM,1,2025,1,27,Monday
179430306,5234,2025-01-27,1110,Deal.Accessories.OEM,5,2025,1,27,Monday
179292986,7070,2025-01-27,2624,Deal.Accessories.OEM,1,2025,1,27,Monday
179807871,3027,2025-01-28,-1,Deal.Accessories.OEM,1,2025,1,28,Tuesday
185963052,3169,2025-01-28,-1,Deal.Accessories.OEM,2,2025,1,28,Tuesday
179516694,3179,2025-01-28,2,Deal.Accessories.OEM,1,2025,1,28,Tuesday
179516747,3179,2025-01-28,6,Deal.Accessories.OEM,3,2025,1,28,Tuesday
179735467,7717,2025-01-28,251,Deal.Accessories.OEM,2,2025,1,28,Tuesday
179735591,7717,2025-01-28,262,Deal.Accessories.OEM,1,2025,1,28,Tuesday
179785482,7831,2025-01-28,285,Deal.Accessories.OEM,1,2025,1,28,Tuesday
179815175,7070,2025-01-28,423,Deal.Accessories.OEM,1,2025,1,28,Tuesday
179815234,7070,2025-01-28,444,Deal.Accessories.OEM,2,2025,1,28,Tuesday
179815121,5262,2025-01-28,457,Deal.Accessories.OEM,1,2025,1,28,Tuesday
179895255,5234,2025-01-28,496,Deal.Accessories.OEM,2,2025,1,28,Tuesday
179895710,5235,2025-01-28,511,Deal.Accessories.OEM,1,2025,1,28,Tuesday
179895731,5235,2025-01-28,512,Deal.Accessories.OEM,13,2025,1,28,Tuesday
179938231,7415,2025-01-28,1030,Deal.Accessories.OEM,1,2025,1,28,Tuesday
179938256,7415,2025-01-28,1031,Deal.Accessories.OEM,6,2025,1,28,Tuesday
179895288,5234,2025-01-28,1110,Deal.Accessories.OEM,3,2025,1,28,Tuesday
179938624,7415,2025-01-28,2173,Deal.Accessories.OEM,1,2025,1,28,Tuesday
180271653,7831,2025-01-29,16,Deal.Accessories.OEM,1,2025,1,29,Wednesday
180049420,5622,2025-01-29,29,Deal.Accessories.OEM,5,2025,1,29,Wednesday
180029128,5644,2025-01-29,183,Deal.Accessories.OEM,7,2025,1,29,Wednesday
180341722,7696,2025-01-29,209,Deal.Accessories.OEM,1,2025,1,29,Wednesday
180370986,5234,2025-01-29,496,Deal.Accessories.OEM,1,2025,1,29,Wednesday
180371437,5235,2025-01-29,512,Deal.Accessories.OEM,3,2025,1,29,Wednesday
180275070,3027,2025-01-29,1022,Deal.Accessories.OEM,1,2025,1,29,Wednesday
180408630,7415,2025-01-29,1031,Deal.Accessories.OEM,6,2025,1,29,Wednesday
180371011,5234,2025-01-29,1110,Deal.Accessories.OEM,8,2025,1,29,Wednesday
180408954,7415,2025-01-29,2142,Deal.Accessories.OEM,1,2025,1,29,Wednesday
180467727,3179,2025-01-30,6,Deal.Accessories.OEM,4,2025,1,30,Thursday
180527024,5622,2025-01-30,29,Deal.Accessories.OEM,1,2025,1,30,Thursday
180821306,7696,2025-01-30,209,Deal.Accessories.OEM,1,2025,1,30,Thursday
180721652,7717,2025-01-30,262,Deal.Accessories.OEM,2,2025,1,30,Thursday
180866316,5234,2025-01-30,430,Deal.Accessories.OEM,3,2025,1,30,Thursday
180867015,5235,2025-01-30,511,Deal.Accessories.OEM,3,2025,1,30,Thursday
180753944,3027,2025-01-30,1022,Deal.Accessories.OEM,1,2025,1,30,Thursday
180889341,7415,2025-01-30,1031,Deal.Accessories.OEM,4,2025,1,30,Thursday
180889615,7415,2025-01-30,2128,Deal.Accessories.OEM,1,2025,1,30,Thursday
180889713,7415,2025-01-30,2173,Deal.Accessories.OEM,3,2025,1,30,Thursday
180947834,3179,2025-01-31,6,Deal.Accessories.OEM,3,2025,1,31,Friday
181026372,5560,2025-01-31,164,Deal.Accessories.OEM,1,2025,1,31,Friday
181249805,5234,2025-01-31,430,Deal.Accessories.OEM,4,2025,1,31,Friday
181250452,5235,2025-01-31,511,Deal.Accessories.OEM,2,2025,1,31,Friday
181225524,3027,2025-01-31,1022,Deal.Accessories.OEM,1,2025,1,31,Friday
181389871,7415,2025-01-31,1031,Deal.Accessories.OEM,3,2025,1,31,Friday
181250066,5234,2025-01-31,1110,Deal.Accessories.OEM,4,2025,1,31,Friday
181390225,7415,2025-01-31,2173,Deal.Accessories.OEM,1,2025,1,31,Friday
181410936,5644,2025-02-01,163,Deal.Accessories.OEM,1,2025,2,1,Saturday
181411048,5644,2025-02-01,183,Deal.Accessories.OEM,4,2025,2,1,Saturday
181522206,7696,2025-02-01,209,Deal.Accessories.OEM,1,2025,2,1,Saturday
181495879,5234,2025-02-01,430,Deal.Accessories.OEM,5,2025,2,1,Saturday
181496415,5235,2025-02-01,512,Deal.Accessories.OEM,5,2025,2,1,Saturday
181571984,7415,2025-02-01,1031,Deal.Accessories.OEM,5,2025,2,1,Saturday
181496047,5234,2025-02-01,1110,Deal.Accessories.OEM,8,2025,2,1,Saturday
181572166,7415,2025-02-01,2128,Deal.Accessories.OEM,1,2025,2,1,Saturday
181600879,7415,2025-02-02,1030,Deal.Accessories.OEM,1,2025,2,2,Sunday
181600895,7415,2025-02-02,1031,Deal.Accessories.OEM,6,2025,2,2,Sunday
181629824,3179,2025-02-03,6,Deal.Accessories.OEM,3,2025,2,3,Monday
181680529,5622,2025-02-03,29,Deal.Accessories.OEM,3,2025,2,3,Monday
181680560,5622,2025-02-03,32,Deal.Accessories.OEM,6,2025,2,3,Monday
181638214,6173,2025-02-03,98,Deal.Accessories.OEM,1,2025,2,3,Monday
181893276,7717,2025-02-03,251,Deal.Accessories.OEM,2,2025,2,3,Monday
181983919,5234,2025-02-03,430,Deal.Accessories.OEM,1,2025,2,3,Monday
